order_id,date,manager,city,product,quantity,unit_price,revenue
10000,2025-09-10,Айгерим,Караганда,Мышь беспроводная,5,14700.0,73300.0
10001,2025-09-10,Айгерим,Астана,Веб-камера 4K,3,41900.0,125700.0
10002,2025-09-10,Мария,Шымкент,Мышь беспроводная,1,15100.0,15100.0
10003,2025-09-10,Мария,Алматы,Мышь беспроводная,2,13800.0,27500.0
10004,2025-09-10,Ерлан,Алматы,Док-станция USB-C,3,56100.0,168400.0
10005,2025-09-10,Ерлан,Алматы,Ноутбук Pro 14,5,435200.0,2175800.0
10006,2025-09-10,Айгерим,Астана,Клавиатура механ.,2,29600.0,59200.0
10007,2025-09-10,Данияр,Алматы,Док-станция USB-C,3,58600.0,175700.0
10008,2025-09-10,Айгерим,Астана,Ноутбук Pro 14,2,396700.0,793500.0
10009,2025-09-10,Данияр,Шымкент,Клавиатура механ.,1,32200.0,32200.0
10010,2025-09-10,Ерлан,Шымкент,Наушники ANC,2,65300.0,130600.0
10011,2025-09-10,Ерлан,Алматы,Веб-камера 4K,1,39300.0,39300.0
10012,2025-09-10,Ерлан,Астана,Веб-камера 4K,1,37800.0,37800.0
10013,2025-09-10,Данияр,Астана,Мышь беспроводная,2,14800.0,29600.0
10014,2025-09-10,Мария,Астана,Ноутбук Pro 14,1,392700.0,392700.0
10015,2025-09-10,Мария,Астана,Веб-камера 4K,2,41800.0,83600.0
10016,2025-09-10,Айгерим,Алматы,Ноутбук Pro 14,2,403000.0,806000.0
10017,2025-09-10,Светлана,Алматы,Док-станция USB-C,1,54500.0,54500.0
10018,2025-09-10,Данияр,Астана,Веб-камера 4K,1,39200.0,39200.0
10019,2025-09-10,Мария,Алматы,Ноутбук Pro 14,2,429200.0,858400.0
10020,2025-09-11,Ерлан,Астана,Клавиатура механ.,1,29800.0,29800.0
10021,2025-09-11,Айгерим,Астана,Веб-камера 4K,1,40400.0,40400.0
10022,2025-09-11,Данияр,Астана,Мышь беспроводная,2,14100.0,28100.0
10023,2025-09-11,Айгерим,Караганда,Наушники ANC,1,63300.0,63300.0
10024,2025-09-11,Данияр,Караганда,Клавиатура механ.,5,32400.0,161800.0
10025,2025-09-11,Данияр,Алматы,"Монитор 27""",3,136800.0,410300.0
10026,2025-09-11,Данияр,Алматы,Ноутбук Pro 14,1,435700.0,435700.0
10027,2025-09-11,Айгерим,Шымкент,Веб-камера 4K,1,40800.0,40800.0
10028,2025-09-11,Данияр,Астана,Ноутбук Pro 14,3,425700.0,1277000.0
10029,2025-09-11,Айгерим,Алматы,Ноутбук Pro 14,2,421900.0,843800.0
10030,2025-09-11,Данияр,Алматы,Веб-камера 4K,1,40400.0,40400.0
10031,2025-09-11,Айгерим,Караганда,Наушники ANC,1,67800.0,67800.0
10032,2025-09-11,Мария,Алматы,Док-станция USB-C,2,54000.0,108100.0
10033,2025-09-11,Ерлан,Алматы,"Монитор 27""",5,132700.0,663300.0
10034,2025-09-11,Светлана,Астана,"Монитор 27""",2,132800.0,265600.0
10035,2025-09-11,Данияр,Астана,Мышь беспроводная,2,13800.0,27700.0
10036,2025-09-11,Ерлан,Шымкент,Веб-камера 4K,2,37800.0,75700.0
10037,2025-09-11,Айгерим,Астана,Мышь беспроводная,1,14400.0,14400.0
10038,2025-09-11,Ерлан,Шымкент,Ноутбук Pro 14,1,422400.0,422400.0
10039,2025-09-11,Айгерим,Алматы,Клавиатура механ.,1,33300.0,33300.0
10040,2025-09-11,Ерлан,Шымкент,Ноутбук Pro 14,2,406700.0,813300.0
10041,2025-09-12,Айгерим,Алматы,Док-станция USB-C,1,58300.0,58300.0
10042,2025-09-12,Светлана,Астана,Клавиатура механ.,2,33600.0,67100.0
10043,2025-09-12,Мария,Алматы,Веб-камера 4K,5,42500.0,212400.0
10044,2025-09-12,Данияр,Алматы,Ноутбук Pro 14,3,422500.0,1267600.0
10045,2025-09-12,Светлана,Алматы,Веб-камера 4K,3,39100.0,117400.0
10046,2025-09-12,Айгерим,Алматы,Ноутбук Pro 14,1,431800.0,431800.0
10047,2025-09-12,Айгерим,Алматы,Клавиатура механ.,2,33100.0,66200.0
10048,2025-09-12,Мария,Алматы,Док-станция USB-C,3,58600.0,175800.0
10049,2025-09-12,Айгерим,Астана,Док-станция USB-C,1,53200.0,53200.0
10050,2025-09-12,Ерлан,Астана,Док-станция USB-C,1,55200.0,55200.0
10051,2025-09-12,Ерлан,Астана,Клавиатура механ.,1,32800.0,32800.0
10052,2025-09-12,Светлана,Алматы,Веб-камера 4K,1,38400.0,38400.0
10053,2025-09-12,Мария,Караганда,Док-станция USB-C,1,55100.0,55100.0
10054,2025-09-12,Айгерим,Астана,Мышь беспроводная,1,15100.0,15100.0
10055,2025-09-13,Ерлан,Алматы,Наушники ANC,1,69900.0,69900.0
10056,2025-09-13,Светлана,Астана,Клавиатура механ.,2,32000.0,63900.0
10057,2025-09-13,Данияр,Астана,Клавиатура механ.,1,31000.0,31000.0
10058,2025-09-13,Айгерим,Алматы,Док-станция USB-C,5,54800.0,274100.0
10059,2025-09-13,Айгерим,Алматы,Док-станция USB-C,3,57500.0,172400.0
10060,2025-09-13,Ерлан,Алматы,Мышь беспроводная,2,13600.0,27200.0
10061,2025-09-13,Айгерим,Алматы,Док-станция USB-C,1,58200.0,58200.0
10062,2025-09-13,Айгерим,Алматы,Наушники ANC,1,63600.0,63600.0
10063,2025-09-13,Мария,Астана,"Монитор 27""",1,125100.0,125100.0
10064,2025-09-13,Мария,Шымкент,Веб-камера 4K,1,39400.0,39400.0
10065,2025-09-14,Данияр,Астана,Док-станция USB-C,1,51900.0,51900.0
10066,2025-09-14,Айгерим,Караганда,Док-станция USB-C,1,57600.0,57600.0
10067,2025-09-14,Светлана,Караганда,Наушники ANC,1,70000.0,70000.0
10068,2025-09-14,Мария,Шымкент,Клавиатура механ.,3,32700.0,98000.0
10069,2025-09-14,Мария,Шымкент,Веб-камера 4K,1,40600.0,40600.0
10070,2025-09-15,Айгерим,Астана,Наушники ANC,2,64900.0,129800.0
10071,2025-09-15,Данияр,Алматы,"Монитор 27""",1,128300.0,128300.0
10072,2025-09-15,Ерлан,Алматы,Веб-камера 4K,1,39700.0,39700.0
10073,2025-09-15,Мария,Алматы,Веб-камера 4K,5,42600.0,213000.0
10074,2025-09-15,Мария,Шымкент,Мышь беспроводная,2,14900.0,29900.0
10075,2025-09-15,Данияр,Астана,Мышь беспроводная,2,14500.0,29100.0
10076,2025-09-15,Светлана,Алматы,Ноутбук Pro 14,1,424300.0,424300.0
10077,2025-09-15,Ерлан,Алматы,Док-станция USB-C,2,52200.0,104400.0
10078,2025-09-15,Светлана,Шымкент,Мышь беспроводная,5,13600.0,68000.0
10079,2025-09-15,Ерлан,Караганда,Клавиатура механ.,2,32700.0,65400.0
10080,2025-09-15,Айгерим,Астана,Ноутбук Pro 14,1,418600.0,418600.0
10081,2025-09-15,Мария,Астана,"Монитор 27""",1,134100.0,134100.0
10082,2025-09-15,Ерлан,Астана,Наушники ANC,2,69300.0,138600.0
10083,2025-09-15,Айгерим,Алматы,"Монитор 27""",2,140500.0,281100.0
10084,2025-09-15,Данияр,Шымкент,Веб-камера 4K,1,41200.0,41200.0
10085,2025-09-15,Светлана,Шымкент,"Монитор 27""",2,130100.0,260100.0
10086,2025-09-16,Айгерим,Караганда,Мышь беспроводная,1,13600.0,13600.0
10087,2025-09-16,Ерлан,Астана,Мышь беспроводная,2,14100.0,28100.0
10088,2025-09-16,Мария,Алматы,Док-станция USB-C,5,57200.0,286000.0
10089,2025-09-16,Светлана,Алматы,Наушники ANC,5,68900.0,344500.0
10090,2025-09-16,Айгерим,Астана,"Монитор 27""",3,135400.0,406100.0
10091,2025-09-16,Данияр,Шымкент,Ноутбук Pro 14,2,387100.0,774100.0
10092,2025-09-16,Данияр,Алматы,Мышь беспроводная,1,14200.0,14200.0
10093,2025-09-16,Айгерим,Караганда,Мышь беспроводная,5,14800.0,74100.0
10094,2025-09-16,Ерлан,Алматы,Ноутбук Pro 14,5,401900.0,2009500.0
10095,2025-09-16,Мария,Алматы,Наушники ANC,5,68400.0,342200.0
10096,2025-09-16,Айгерим,Алматы,Наушники ANC,5,62800.0,314100.0
10097,2025-09-16,Светлана,Астана,Веб-камера 4K,3,38800.0,116300.0
10098,2025-09-16,Айгерим,Астана,Док-станция USB-C,1,51600.0,51600.0
10099,2025-09-17,Ерлан,Караганда,Клавиатура механ.,3,29700.0,89000.0
10100,2025-09-17,Ерлан,Алматы,Ноутбук Pro 14,3,424500.0,1273600.0
10101,2025-09-17,Мария,Астана,Мышь беспроводная,1,13600.0,13600.0
10102,2025-09-17,Айгерим,Астана,Мышь беспроводная,2,14900.0,29900.0
10103,2025-09-17,Ерлан,Караганда,Ноутбук Pro 14,1,401200.0,401200.0
10104,2025-09-17,Мария,Алматы,Веб-камера 4K,2,38000.0,76000.0
10105,2025-09-17,Айгерим,Алматы,"Монитор 27""",5,136700.0,683300.0
10106,2025-09-17,Данияр,Шымкент,Веб-камера 4K,1,42900.0,42900.0
10107,2025-09-17,Айгерим,Караганда,"Монитор 27""",2,134200.0,268500.0
10108,2025-09-17,Ерлан,Астана,Мышь беспроводная,1,14400.0,14400.0
10109,2025-09-17,Мария,Алматы,Мышь беспроводная,5,13600.0,68100.0
10110,2025-09-17,Айгерим,Алматы,Док-станция USB-C,2,52400.0,104800.0
10111,2025-09-17,Мария,Астана,Ноутбук Pro 14,1,409800.0,409800.0
10112,2025-09-17,Айгерим,Астана,Док-станция USB-C,1,54500.0,54500.0
10113,2025-09-17,Данияр,Астана,Наушники ANC,1,62900.0,62900.0
10114,2025-09-17,Мария,Астана,"Монитор 27""",1,134200.0,134200.0
10115,2025-09-17,Данияр,Шымкент,Мышь беспроводная,2,14600.0,29100.0
10116,2025-09-17,Мария,Алматы,Клавиатура механ.,2,31200.0,62500.0
10117,2025-09-17,Светлана,Караганда,Док-станция USB-C,2,56900.0,113800.0
10118,2025-09-17,Ерлан,Алматы,Веб-камера 4K,2,40500.0,81000.0
10119,2025-09-18,Ерлан,Алматы,Ноутбук Pro 14,1,390300.0,390300.0
10120,2025-09-18,Айгерим,Алматы,Ноутбук Pro 14,1,404600.0,404600.0
10121,2025-09-18,Ерлан,Шымкент,Ноутбук Pro 14,3,387200.0,1161600.0
10122,2025-09-18,Мария,Алматы,Клавиатура механ.,1,30100.0,30100.0
